date,mean,median,sum,std,max,min
2000-07-20,4367.5502183406115,956.0,2000338.0,27414.36260092807,0,0
2000-07-21,5824.116847826087,888.5,2143275.0,35135.36514812853,0,0
2000-07-22,,,0.0,,0,0
2000-07-23,,,0.0,,0,0
2000-07-24,4868.344594594595,1055.0,2161545.0,22363.386836779326,0,0
2000-07-25,7778.245901639344,960.0,3321311.0,82843.15961171697,0,0
2000-07-26,3256.9866071428573,1015.5,1459130.0,18573.854368146272,0,0
2000-07-27,12696.886243386243,1020.5,4799423.0,180044.45591635758,0,0
2000-07-28,2373.143884892086,1050.0,989601.0,4634.479557691892,0,0
2000-07-29,,,0.0,,0,0
2000-07-30,,,0.0,,0,0
2000-07-31,6083.464285714285,1150.5,2555055.0,35286.04212299627,0,0
2000-08-01,7651.70612244898,1212.5,3749336.0,44833.376408737204,0,0
2000-08-02,4529.029177718833,1087.0,1707444.0,23636.51248094245,0,0
2000-08-03,6583.939457202505,1070.0,3153707.0,55137.6759713955,0,0
2000-08-04,21204.240476190476,1069.0,8905781.0,165890.1956506652,0,0
2000-08-05,,,0.0,,0,0
2000-08-06,,,0.0,,0,0
2000-08-07,4848.268867924528,1187.5,2055666.0,21888.755609241616,0,0
2000-08-08,106286.56902985074,1154.5,56969601.0,2201791.8877254995,0,0
2000-08-09,23326.33485193622,1000.0,10240261.0,289622.7571487537,0,0
2000-08-10,11481.528795811519,1223.0,4385944.0,112880.37969965918,0,0
2000-08-11,21445.693110647182,1302.0,10272487.0,194408.1219096629,0,0
2000-08-12,,,0.0,,0,0
2000-08-13,,,0.0,,0,0
2000-08-14,3021.4786821705425,1195.0,1559083.0,11019.37170077215,0,0
2000-08-15,2663.8483412322275,1098.0,1124144.0,5695.706986540449,0,0
2000-08-16,9217.28125,1010.0,4719248.0,52291.40355108833,0,0
2000-08-17,10447.811594202898,1080.0,5046293.0,87321.23307353201,0,0
2000-08-18,11590.649298597195,1033.0,5783734.0,110211.261654307,0,0
2000-08-19,,,0.0,,0,0
2000-08-20,,,0.0,,0,0
2000-08-21,455899.7056737589,1127.5,257127434.0,4211310.686451803,0,0
2000-08-22,3739.8804780876494,928.0,1877420.0,19116.291513594537,0,0
2000-08-23,386119.8663282572,1108.0,228196841.0,9212965.979603093,0,0
